Time Elapsed (s),Timestamp,Frequency,Moving Average
104.05580830574036,1756893476.392591,5976200.19902294,5976205.4390847655
104.56232500076294,1756893476.899108,5976198.732791005,5976203.408157659
105.06518006324768,1756893477.401963,5976194.615348618,5976200.628401075
105.56755232810974,1756893477.904335,5976190.046772701,5976197.365109357
106.070547580719,1756893478.407331,5976187.0588076245,5976194.130548577
106.57298350334167,1756893478.909767,5976183.489368481,5976190.7886176845
107.07781887054443,1756893479.414602,5976180.357090044,5976187.113477494
107.5823917388916,1756893479.919175,5976174.901076803,5976183.170623131
108.08534550666809,1756893480.422129,5976170.796648006,5976179.320598192
108.59009766578674,1756893480.926881,5976166.379343084,5976175.1847052835
109.09594750404358,1756893481.432731,5976161.941510582,5976170.875133703
109.60279750823975,1756893481.939581,5976156.84416084,5976166.172547864
110.10597968101501,1756893482.442763,5976153.622724922,5976161.916877488
110.6128294467926,1756893482.949613,5976148.375363977,5976157.43262068
111.11546087265015,1756893483.452244,5976143.275871948,5976152.811926453
111.62248373031616,1756893483.959267,5976140.1310723275,5976148.449838803
112.12725138664246,1756893484.464035,5976138.627507055,5976144.806508047
112.63002681732178,1756893484.96681,5976139.254806867,5976141.932924435
113.13658881187439,1756893485.473372,5976141.388984501,5976140.53564854
113.64181971549988,1756893485.978603,5976143.401154133,5976140.560704976
114.1466007232666,1756893486.483384,5976145.405112731,5976141.615513057
114.65543961524963,1756893486.992223,5976147.850414293,5976143.460094506
115.16045570373535,1756893487.497239,5976150.216886112,5976145.652510354
115.66578221321106,1756893488.002565,5976153.278085405,5976148.030330534
116.16851139068604,1756893488.505295,5976157.523617332,5976150.854823174
116.67090463638306,1756893489.007688,5976162.049807954,5976154.18376222
117.17601943016052,1756893489.512803,5976167.156820367,5976158.045043434
117.68039417266846,1756893490.017177,5976173.167366028,5976162.635139418
118.18630146980286,1756893490.523085,5976178.313860458,5976167.642294427
118.69127988815308,1756893491.028063,5976183.753477216,5976172.888266405
119.19589352607727,1756893491.532677,5976189.68234741,5976178.414774296
119.70267128944397,1756893492.039454,5976194.4583542,5976183.875081062
120.20542216300964,1756893492.542205,5976200.862198056,5976189.4140474675
120.7102632522583,1756893493.047047,5976206.14897707,5976194.98107079
121.21549201011658,1756893493.552275,5976208.051327348,5976199.840640817
121.72241759300232,1756893494.059201,5976211.730547476,5976204.25028083
122.22505116462708,1756893494.561834,5976214.9987811595,5976208.358366222
122.72962307929993,1756893495.066406,5976215.937729279,5976211.373472467
123.23658514022827,1756893495.573368,5976218.117898923,5976213.767256837
123.74090671539307,1756893496.07769,5976220.826676127,5976216.322326593
124.2465307712555,1756893496.583314,5976220.674733668,5976218.111163831
124.75287628173828,1756893497.089659,5976223.887606835,5976219.888928967
125.25985527038574,1756893497.596638,5976223.338746678,5976221.369132446
125.76287126541138,1756893498.099654,5976226.3151753815,5976223.008587738
126.26526737213135,1756893498.602051,5976229.612799955,5976224.765812503
126.76798820495605,1756893499.104771,5976234.960650117,5976227.622995793
127.27247381210327,1756893499.609257,5976242.102303786,5976231.265935183
127.7773289680481,1756893500.114112,5976245.843682193,5976235.766922286
128.28359580039978,1756893500.620379,5976251.069466798,5976240.71778057
128.79018020629883,1756893501.126964,5976254.775980294,5976245.750416638
129.2924144268036,1756893501.629198,5976256.900597576,5976250.13840613
129.7949993610382,1756893502.131783,5976260.151501123,5976253.748245597
130.29989361763,1756893502.636677,5976264.500713313,5976257.479651821
130.80249977111816,1756893503.139283,5976270.144761742,5976261.294710809
131.30763506889343,1756893503.644418,5976273.840704493,5976265.107655649
131.8121109008789,1756893504.148894,5976279.289011898,5976269.585338514
132.31654715538025,1756893504.65333,5976282.939691657,5976274.142976621
132.8188762664795,1756893505.15566,5976282.682195233,5976277.779273005
133.32351756095886,1756893505.660301,5976280.273523571,5976279.805025371
133.82590317726135,1756893506.162686,5976278.080800768,5976280.653044625
134.33076095581055,1756893506.667544,5976273.707831581,5976279.536808562
134.8355793952942,1756893507.172362,5976271.059153504,5976277.160700931
135.34194779396057,1756893507.678731,5976268.7201413205,5976274.36829015
135.8466386795044,1756893508.183422,5976265.074417597,5976271.328468954
136.35088467597961,1756893508.687668,5976260.49417741,5976267.811144282
136.8556797504425,1756893509.192463,5976257.26426827,5976264.522431621
137.36206817626953,1756893509.698851,5976252.695315054,5976260.849663931
137.8663854598999,1756893510.203169,5976245.574617422,5976256.220559152
138.3692741394043,1756893510.706057,5976237.845990084,5976250.774873649
138.8742799758911,1756893511.211063,5976232.391191871,5976245.1542765405
139.38099217414856,1756893511.717776,5976229.936649702,5976239.688752826
139.8860867023468,1756893512.22287,5976227.795795808,5976234.708848977
140.3888132572174,1756893512.725596,5976225.638116972,5976230.721548887
140.89536380767822,1756893513.232147,5976223.807191161,5976227.913789103
141.39776182174683,1756893513.734545,5976222.3218641,5976225.899923548
141.90279865264893,1756893514.239582,5976220.023114109,5976223.9172164295
142.4058792591095,1756893514.742662,5976218.396779842,5976222.037413237
142.91218662261963,1756893515.24897,5976216.549131408,5976220.219616124
143.41718745231628,1756893515.753971,5976215.16533593,5976218.491245078
143.92404675483704,1756893516.26083,5976211.751605831,5976216.377193424
144.4306743144989,1756893516.767458,5976208.908491287,5976214.15426886
144.93528771400452,1756893517.272071,5976207.5536006875,5976211.985633029
145.43828558921814,1756893517.775069,5976204.604343849,5976209.596675517
145.9430284500122,1756893518.279812,5976201.08610215,5976206.780828761
146.44608664512634,1756893518.78287,5976196.550005852,5976203.740508766
146.95061540603638,1756893519.287399,5976193.590971235,5976200.6770047555
147.45494413375854,1756893519.791727,5976189.0160835665,5976196.969501331
147.95765447616577,1756893520.294438,5976185.533710776,5976193.155374716
148.46475458145142,1756893520.801538,5976182.41582083,5976189.421318452
